name,text,party,gender,speech_id
Baroness Bowles of Berkhamsted,"My Lords, my amendment would add EU directives to the list of relevant instruments that the Queen’s printer must make arrangements to publish. I briefly flagged the point of the amendment when we debated recitals with regard to interpretation and Clause 6(3) on 7 March. Anyhow, in those previous exchanges, and since, in the letter of 13 March from the Solicitor-General to Robert Neill MP, it has been confirmed that recitals have an ongoing role in interpretation of retained EU law. There are several interesting points in the letter and footnotes, but for the benefit of the House I will read out just a small part, which says:“For example, the Treaty base of EU legislation, its recitals, and the working papers prepared in advance of its adoption, may all be referred to at the moment. Our courts are well-versed in this, and in dealing with the differences that exist between the interpretation of domestic law and EU law. As such clause 6(3) of the Bill should not disturb the existing approach taken by our courts”. I still have an ongoing concern that I raised regarding post-Brexit loss rights of challenge in court, and on which I have written to the noble and learned Lord, Lord Keen, but from the interpretation point of view it is clear that recitals and other parts of directives are available for interpretation. On that basis it seems to me that directives are not just any old other EU instrument; they should have a rank prescribed in the Bill and not left to the possible halfway house of it being done at the discretion of the Queen’s printer or for there to be special rules about their admissibility.Recitals and indeed whole directive texts and their empowerments will not only be a last resort to reference by the court; it is quite likely that, post Brexit, a lot more notice will be taken of them than previously, especially in those areas where any kind of regulatory alignment is sought. I understand from a ministerial meeting that the Treasury is certainly thinking that way.What happens if there is no automatic publication by the Queen’s printer? As I said, it could be that the Queen’s printer does it under paragraph 1(3) of Schedule 5, but that is not certain, or under part 2 on rules of evidence in Schedule 5, and in particular paragraph 4, where it would be necessary for there to be regulations to enable documents that were not published by the Queen’s printer to be admissible, and they would have conditions around them. It may just be for certification, of course, but that does not reflect the status of this important category of EU instruments from which a great deal of retained EU law derives.Directives need to be added to the list of relevant instruments, as I suggest in my amendment, or some other provision should be made in Schedule 5 for this important category of documents. If there is a need to make exceptions to publishing some directives or parts of them, those powers exist in paragraph 2, and I agree with the amendment in the next group that it should require regulation to make that exception, but directives should be of a category that is in unless taken out, rather than out but can be opted in. I beg to move.",(LD),female,1
Viscount Hailsham,"My Lords, there seems to be a great deal of sense in the amendment, partly because of the provisions of Clause 6, and partly because it is important that the businesses that will be trading into the European Union have ready access to all relevant documents. They will be regulated by directives which set out the principles with which they must comply. The noble Baroness is quite right to move the amendment. Unless there is some compelling reason—which cannot be cost, because that must be very small—I hope it will get a favourable reception from my noble friend.",(Con),male,2
Lord Pannick,"My Lords, it is indeed striking that directives are not included in Schedule 5, part 1, paragraph 1(2). The reason may be that directives are given a very odd status under Clause 4(2)(b), which we debated on a previous day. Under Clause 4(2)(b), retained EU law does not include rights which arise under an EU directive when they are,“not of a kind recognised by the European Court or any court or tribunal”,in this country,“in a case decided before exit day”.We debated the complexities, the uncertainties and, as I see it, the unsatisfactory nature, of the clause. Is that the reason why directives are not included in Schedule 5, part 1? If not, what is the reason?",(CB),male,3
Baroness Ludford,"My Lords, I support my noble friend’s valuable amendment. I wonder whether the Government are being as transparent as they ought to be. After all, there have sometimes been well-founded suspicions of gold-plating of directives and, in contrast, of not entirely full or accurate transposition of directives. I am sorry to repeat myself, but I gave the recent example of the European investigation order, which was not transposed in regulations last December with exactly the wording in the directive. The European Convention on Human Rights has been substituted for the charter, which is in my opinion a breach of the accurate transposition of the directive.Not only during the transition but well into the future, businesses and all citizens will be obeying a lot of the acquis of EU law, if the Prime Minister’s emerging strategy of staying plugged into many EU policies and agencies one way or another comes to fruition. Therefore it is right for businesses and individuals to be able to see how EU law in directives, which unlike regulations, does not have direct effect, has been translated, transposed into UK law, so that they can track its accuracy. This is a long-running theme in the European Parliament, as my noble friend will know. Indeed, the Minister will know that there was an attempt to campaign in the European Parliament to have what was known in the jargon as “correlation tables”. It was possible to see exactly how EU law had been translated into national law in all EU states.Funnily enough, the member states never wanted that to happen. They got away with a bit of smoke and mirrors of people not understanding where law had come from at the European level, or where it had not. Where something had been added at national level that was sitting in some dusty drawer in Whitehall and this convenient vehicle of an EU directive came along, they said, “Right, we’ll just slap into that things we’ve long thought about and no one will realise that it didn’t come from Brussels”. Well, people need to know whether it came from Brussels or not. The kind of transparency that my noble friend is seeking would be extremely useful.",(LD),female,4
Baroness Hayter of Kentish Town,"My Lords, it may not be possible to answer my question today, but it is an important one. I would have put down an amendment at the end of Amendment 354 to use two additional words: “in English”. Once we leave the European Union, there will not be an English-speaking country that chooses English as its language. The Maltese have accepted Maltese as the language, the Irish chose Gaelic. It is only the United Kingdom for which English is the language.In future, for all sorts of reasons, it will be interesting to know whether the Government will ask or, I hope, negotiate that English remains for the production of EU documents. For myriad reasons, not least business, we will need to know that. If the Minister cannot answer my question about negotiations now, it would be useful if she could report at some point in the future.",(Lab),female,5
Baroness Goldie,"My Lords, may I first of all, in English, thank all who have contributed to the debate? I know that to some it may seem anorak territory, but knowing where to find law and being able to access law are matters of fundamental importance. Before coming to the specifics of Amendment 354 in the name of the noble Baroness, Lady Bowles, it may be useful to provide some context for the debate.Part 1 of Schedule 5 serves an important purpose, which was picked up by, among others, the House of Lords Constitution Committee and the Bingham centre. Specifically, it is a recognition of that vitally important factor of the law being publicly available and accessible after exit day. Part 1 therefore provides for a combination of duties on and powers for the Queen’s printer to help to ensure that this happens.I will be clear about what the provisions involve. There are differences between how part 1 of Schedule 5 is sometimes described and what it actually does. It is designed to ensure that retained EU law is sufficiently accessible but it does not, for the avoidance of doubt, impose a duty on the Queen’s printer to identify or publish retained EU law itself, or any subset of it. Instead, it imposes a duty on the Queen’s printer to make arrangements for the publication of the types of EU instrument that may become retained direct EU legislation, being regulations, decisions and tertiary legislation. It also requires the publication of several key EU treaties and confers a power on the Queen’s printer to publish other related documents.I recognise the important issue the noble Baroness seeks to highlight by her amendment. Directives are an important part of EU law at the moment, and may be relevant to retained EU law in some cases, but they are not covered by the duty to publish which I have just outlined. That duty is focused, as I explained, on instruments that may become retained direct EU legislation, which of course in terms of the Bill directives cannot.",(Con),female,6
Viscount Hailsham,People trading in the European Union need to know the status of the requirements that they have to adhere to when they are trading into the European Union. Directives can be relevant to that.,(Con),male,7
Baroness Goldie,"I was about to come on to that point, as it was raised also by the noble Lord, Lord Pannick. Directives have been implemented in domestic law—they are already there—so they do not need retaining in and of themselves, which is a distinction that I am trying to make in terms of how the Bill is drafted, but they remain available for the purposes of interpreting retained EU law. They are available for that purpose no matter what the Queen’s printer may do.That said, sub-paragraph (3) of paragraph 1 also allows, but does not require, the Queen’s printer to publish certain other documents and instruments. Since the noble Baroness tabled her amendment, work has progressed further, and I am happy to confirm that the National Archives, which exercises the functions of the Queen’s printer, intends to make pre-exit day directives available online. I hope that I have reassured the noble Baroness and ask that she withdraw her amendment.",(Con),female,8
Baroness Bowles of Berkhamsted,"I thank noble Lords who have supported the amendment. If something is present in the National Archives, I wonder whether that means that it can then automatically be relied on in court without there being any necessity for certification or other requirements. If that was the case, it would fulfil the point that I was trying to make—there are other points that noble Lords have referenced. I did not want it to be that, in order in a court proceeding to reference a directive or draw the judge’s attention to it, one had to remember to go through the certification process, especially if there were a lot of them.",(LD),female,9
Baroness Ludford,"My noble friend is much more an expert than I am on these technicalities, but other noble Lords as well as I have talked about more general accessibility for citizens and businesses. Someone like me knows that I can just put the number of the directive in Google and, hey presto, I get the Official Journal. However, it being in the National Archives is not as good as it being in whatever series is published under Schedule 5. If this is to be done in some voluntary capacity, why is that good enough? Why cannot it be in the Bill? It seems a very British solution: “Oh, well, it’ll be in the National Archives”. No one will be able to find it because they do not know that it is there. It might or might not be okay for the technical purposes that my noble friend is talking about, but it will not be squarely there in a series that can be made known. I cannot understand the Government’s logic.",(LD),female,10
